,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,present_prize
0,Maruti,2007,60000,70000,Petrol,Individual,Manual,First Owner,72000
1,Maruti,2007,135000,50000,Petrol,Individual,Manual,First Owner,151859
2,Hyundai,2012,600000,100000,Diesel,Individual,Manual,First Owner,998149
3,Datsun,2017,250000,46000,Petrol,Individual,Manual,First Owner,290475
4,Honda,2014,450000,141000,Diesel,Individual,Manual,Second Owner,700808
5,Maruti,2007,140000,125000,Petrol,Individual,Manual,First Owner,168000
6,Hyundai,2016,550000,25000,Petrol,Individual,Manual,First Owner,952318
7,Tata,2014,240000,60000,Petrol,Individual,Manual,Second Owner,288000
8,Hyundai,2015,850000,25000,Petrol,Individual,Manual,First Owner,1187923
9,Maruti,2017,365000,78000,CNG,Individual,Manual,First Owner,366354
10,Chevrolet,2015,260000,35000,Petrol,Individual,Manual,First Owner,312000
11,Tata,2014,250000,100000,Petrol,Individual,Manual,First Owner,327038
12,Toyota,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,2865063
13,Maruti,2007,60000,70000,Petrol,Individual,Manual,First Owner,72000
14,Maruti,2007,135000,50000,Petrol,Individual,Manual,First Owner,162000
15,Hyundai,2012,600000,100000,Diesel,Individual,Manual,First Owner,856890
16,Datsun,2017,250000,46000,Petrol,Individual,Manual,First Owner,300000
17,Honda,2014,450000,141000,Diesel,Individual,Manual,Second Owner,745445
18,Maruti,2007,140000,125000,Petrol,Individual,Manual,First Owner,170543
19,Hyundai,2016,550000,25000,Petrol,Individual,Manual,First Owner,693967
20,Tata,2014,240000,60000,Petrol,Individual,Manual,Second Owner,240285
21,Hyundai,2015,850000,25000,Petrol,Individual,Manual,First Owner,1226013
22,Maruti,2017,365000,78000,CNG,Individual,Manual,First Owner,468004
23,Chevrolet,2015,260000,35000,Petrol,Individual,Manual,First Owner,314733
24,Tata,2014,250000,100000,Petrol,Individual,Manual,First Owner,428850
25,Toyota,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,2623279
26,Maruti,2015,585000,24000,Petrol,Dealer,Manual,First Owner,794397
27,Hyundai,2019,1195000,5000,Diesel,Dealer,Manual,First Owner,1969807
28,Chevrolet,2013,390000,33000,Diesel,Individual,Manual,Second Owner,526971
29,Jaguar,2014,1964999,28000,Diesel,Dealer,Automatic,First Owner,3385549
30,Mercedes-Benz,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,2424646
31,Maruti,2018,975000,4500,Diesel,Dealer,Automatic,First Owner,1580962
32,Audi,2011,1190000,175900,Diesel,Dealer,Automatic,First Owner,1877175
33,Honda,2018,930000,14500,Petrol,Dealer,Manual,First Owner,1454343
34,Tata,2018,525000,15000,Petrol,Individual,Manual,First Owner,770277
35,Audi,2013,1735000,50000,Diesel,Dealer,Automatic,First Owner,2936411
36,Mercedes-Benz,2012,1375000,33800,Diesel,Dealer,Automatic,Second Owner,2152260
37,Skoda,2011,450000,130400,Diesel,Dealer,Automatic,Second Owner,516950
38,Toyota,2016,900000,50000,Petrol,Individual,Automatic,First Owner,1421989
39,Toyota,2015,1300000,80000,Diesel,Individual,Manual,First Owner,2016024
40,Jeep,2019,1400000,10000,Petrol,Individual,Manual,First Owner,2250005
41,Mercedes-Benz,2010,850000,119000,Petrol,Dealer,Automatic,First Owner,1376927
42,Hyundai,2014,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner,275998
43,BMW,2013,1550000,75800,Diesel,Dealer,Automatic,Second Owner,2482919
44,Audi,2009,1250000,78000,Diesel,Dealer,Automatic,Third Owner,1943594
45,Hyundai,2012,625000,40000,Diesel,Individual,Manual,First Owner,1028790
46,Mahindra,2014,1050000,50000,Diesel,Individual,Manual,First Owner,1683843
47,Honda,2014,560000,74000,Diesel,Individual,Manual,Second Owner,756535
48,Maruti,2014,290000,64000,Petrol,Individual,Manual,Second Owner,348000
49,Maruti,2012,275000,60000,Petrol,Individual,Manual,Second Owner,414950
50,Mahindra,2009,411000,120000,Diesel,Individual,Manual,Second Owner,656946
51,Hyundai,2009,150000,79000,Petrol,Individual,Manual,Third Owner,180000
52,Hyundai,2019,500000,15000,Petrol,Individual,Manual,First Owner,595272
53,Maruti,2006,100000,80000,Petrol,Individual,Manual,First Owner,120000
54,Maruti,2017,725000,18500,Diesel,Dealer,Manual,First Owner,1192494
55,Maruti,2018,401000,10200,Petrol,Dealer,Manual,First Owner,634507
56,Hyundai,2018,750000,29000,Diesel,Dealer,Manual,First Owner,1040531
57,Maruti,2018,310000,28000,Petrol,Dealer,Manual,First Owner,458681
58,Maruti,2016,665000,46000,Diesel,Dealer,Manual,First Owner,1011268
59,Hyundai,2014,465000,70000,Diesel,Dealer,Manual,First Owner,556664
60,Maruti,2012,160000,60000,Petrol,Individual,Manual,Second Owner,192000
61,Mahindra,1996,250000,35000,Diesel,Individual,Manual,Second Owner,300000
62,Honda,2014,675000,90000,Diesel,Dealer,Manual,First Owner,1038949
63,Maruti,2013,300000,80000,Petrol,Dealer,Manual,First Owner,420541
64,Tata,2005,70000,80000,Diesel,Individual,Manual,First Owner,84000
65,Hyundai,2014,240000,73300,Petrol,Dealer,Manual,Second Owner,334323
66,Toyota,2014,525000,92000,Diesel,Dealer,Manual,First Owner,807773
67,Maruti,2009,151000,66764,Petrol,Dealer,Manual,Second Owner,181200
68,Maruti,2009,140000,100000,Petrol,Individual,Manual,First Owner,214897
69,Chevrolet,2010,280000,350000,Diesel,Individual,Manual,Second Owner,343481
70,Toyota,2011,350000,230000,Diesel,Individual,Manual,First Owner,420000
71,Mahindra,2017,570000,60000,Diesel,Individual,Manual,First Owner,988978
72,Hyundai,2018,300000,31000,Petrol,Individual,Manual,First Owner,406544
73,Tata,2007,100000,39000,Diesel,Individual,Manual,First Owner,120000
74,Toyota,2009,500000,120000,Diesel,Individual,Manual,Third Owner,774885
75,Tata,2014,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner,150000
76,Maruti,2006,130000,110000,Petrol,Individual,Manual,Third Owner,204282
77,Ford,2017,925000,35000,Diesel,Individual,Manual,First Owner,1569270
78,Maruti,2018,750000,60000,Diesel,Individual,Manual,First Owner,1125643
79,Honda,2007,200000,54000,Petrol,Individual,Automatic,Second Owner,240000
80,Hyundai,2010,248000,63000,Petrol,Individual,Manual,Second Owner,272446
81,Skoda,2014,450000,120000,Diesel,Individual,Manual,Second Owner,698222
82,Hyundai,2005,80000,120000,Petrol,Individual,Manual,Third Owner,96000
83,Nissan,2014,650000,76000,Petrol,Individual,Manual,Second Owner,888703
84,Hyundai,2015,450000,80000,Diesel,Individual,Manual,First Owner,659786
85,Hyundai,2019,650000,25000,Diesel,Individual,Manual,First Owner,934254
86,Honda,2016,495000,11958,Petrol,Dealer,Manual,First Owner,569923
87,Honda,2015,371000,20000,Petrol,Dealer,Manual,First Owner,564447
88,Hyundai,2017,1025000,9000,Petrol,Dealer,Manual,First Owner,1652554
89,Mercedes-Benz,2017,8150000,6500,Diesel,Dealer,Automatic,First Owner,14257418
90,Mahindra,2015,750000,70000,Diesel,Individual,Manual,First Owner,1245100
91,Renault,2013,600000,120000,Diesel,Individual,Manual,First Owner,791766
92,Hyundai,2007,80000,58000,Petrol,Dealer,Manual,Second Owner,137622
93,Mahindra,2013,325000,62200,Diesel,Dealer,Manual,First Owner,443255
94,Audi,2014,1470000,34000,Diesel,Dealer,Automatic,Second Owner,2462888
95,Fiat,2015,350000,53000,Diesel,Individual,Manual,Second Owner,437536
96,Audi,2013,2800000,49000,Diesel,Dealer,Automatic,First Owner,4805144
97,Datsun,2017,210000,15000,Petrol,Dealer,Manual,Second Owner,303562
98,Volkswagen,2013,450000,50000,Petrol,Individual,Manual,First Owner,736248
99,Audi,2013,1150000,53000,Diesel,Dealer,Automatic,First Owner,1720857
100,Honda,2009,210000,63500,Petrol,Dealer,Automatic,First Owner,272677
101,Mercedes-Benz,2018,4500000,9800,Petrol,Dealer,Automatic,First Owner,7669745
102,BMW,2017,2750000,13000,Diesel,Individual,Automatic,First Owner,4802141
103,Volvo,2018,1975000,21000,Diesel,Dealer,Automatic,First Owner,3380030
104,Maruti,2008,175000,29173,Petrol,Dealer,Manual,First Owner,210000
105,BMW,2012,2500000,48000,Diesel,Dealer,Automatic,First Owner,4317393
106,Mahindra,2017,628000,120000,Diesel,Individual,Manual,First Owner,1089190
107,Hyundai,2010,600000,100000,Diesel,Individual,Manual,First Owner,946905
108,Nissan,2017,399000,30000,Petrol,Individual,Manual,First Owner,561702
109,Mahindra,2018,750000,87000,Diesel,Individual,Manual,First Owner,1137727
110,Hyundai,2019,750000,15000,Petrol,Individual,Manual,First Owner,1054864
111,Renault,2017,315000,16000,Petrol,Individual,Manual,First Owner,444227
112,Mahindra,2012,600000,60000,Diesel,Individual,Manual,First Owner,958356
113,Maruti,2010,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner,120000
114,Maruti,2011,250000,110000,Petrol,Individual,Manual,Third Owner,274221
115,Renault,2017,350000,25000,Petrol,Individual,Manual,First Owner,390287
116,Hyundai,2016,780000,60000,Diesel,Individual,Manual,First Owner,1362048
117,Maruti,2014,434000,79350,Diesel,Individual,Manual,Second Owner,493662
118,Hyundai,2016,690000,80000,Petrol,Individual,Automatic,First Owner,1054264
119,Mahindra,2014,555000,90000,Diesel,Individual,Manual,Second Owner,740174
120,Maruti,2007,120000,90000,Petrol,Individual,Manual,Second Owner,144000
121,Maruti,2014,500000,120000,Diesel,Individual,Manual,Second Owner,786482
122,Chevrolet,2013,165000,60000,Diesel,Individual,Manual,Second Owner,236161
123,Maruti,2004,95000,50000,Petrol,Individual,Manual,First Owner,114000
124,Maruti,2018,550000,20000,Petrol,Individual,Manual,First Owner,681801
125,Maruti,2007,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner,120000
126,Tata,2012,100000,50000,Petrol,Individual,Manual,Second Owner,120000
127,Toyota,2012,500000,100000,Diesel,Individual,Manual,First Owner,716539
128,Maruti,2016,800000,70000,Diesel,Individual,Manual,Second Owner,1109196
129,Hyundai,2016,840000,70000,Diesel,Individual,Manual,Second Owner,1206138
130,Honda,2016,490000,50000,Petrol,Individual,Manual,First Owner,752447
131,Tata,2010,125000,81000,Diesel,Individual,Manual,Second Owner,171551
132,Chevrolet,2012,400000,120000,Diesel,Individual,Manual,Third Owner,441497
133,Chevrolet,2015,1000000,3600,Diesel,Dealer,Manual,First Owner,1684942
134,Ford,2015,530000,14272,Petrol,Dealer,Manual,First Owner,706708
135,Ford,2017,840000,49213,Diesel,Dealer,Manual,First Owner,1438989
136,Hyundai,2015,229999,40000,Petrol,Individual,Manual,First Owner,275998
137,Maruti,1998,40000,40000,Petrol,Individual,Manual,Fourth & Above Owner,48000
138,Chevrolet,2012,130000,80000,Petrol,Individual,Manual,First Owner,156000
139,Hyundai,2015,200000,70000,Petrol,Individual,Manual,First Owner,240000
140,Tata,2011,120000,70000,Diesel,Individual,Manual,First Owner,185178
141,Hyundai,2003,75000,57000,Petrol,Individual,Manual,First Owner,90000
142,Tata,2016,250000,120000,Diesel,Individual,Manual,First Owner,300000
143,Maruti,2005,100000,30000,Petrol,Individual,Manual,First Owner,120000
144,Hyundai,2013,280000,3240,Petrol,Individual,Manual,Second Owner,453901
145,Hyundai,2015,540000,5000,Petrol,Individual,Manual,First Owner,734237
146,Hyundai,2018,700000,10000,Petrol,Individual,Manual,First Owner,1172308
147,Maruti,2015,525000,100000,Diesel,Individual,Manual,First Owner,897771
148,Hyundai,2016,430000,80000,Diesel,Individual,Manual,First Owner,690110
149,Hyundai,2002,65000,70000,Petrol,Individual,Manual,First Owner,78000
150,Maruti,2018,800000,35000,Diesel,Individual,Manual,First Owner,1206552
151,Hyundai,2007,75000,114000,Petrol,Individual,Manual,Second Owner,90000
152,Hyundai,2008,210000,53772,Petrol,Individual,Manual,First Owner,289921
153,Mahindra,2012,195000,140000,Diesel,Individual,Manual,Second Owner,234000
154,Chevrolet,2015,400000,120000,Diesel,Individual,Manual,First Owner,682109
155,Hyundai,2012,170000,60000,Petrol,Individual,Manual,First Owner,173569
156,Renault,2016,225000,25000,Petrol,Individual,Manual,First Owner,270000
157,Maruti,2014,210000,90000,LPG,Individual,Manual,First Owner,345817
158,Maruti,2020,240000,120000,Petrol,Individual,Manual,First Owner,288000
159,Chevrolet,2015,300000,175000,Diesel,Individual,Manual,First Owner,434904
160,Chevrolet,2011,99000,100000,Petrol,Individual,Manual,Third Owner,118800
161,Honda,2014,620000,36000,Petrol,Individual,Manual,First Owner,979814
162,Honda,2013,500000,30000,Diesel,Individual,Manual,First Owner,593182
163,Jaguar,2010,2550000,40000,Petrol,Individual,Automatic,Second Owner,4222953
164,Honda,2013,260000,70000,Petrol,Individual,Manual,Second Owner,428895
165,Maruti,2017,550000,60000,Petrol,Individual,Manual,First Owner,707250
